round,event_key,role,baseline_mae_seconds,candidate_mae_seconds,candidate_interval_coverage,candidate_interval_width_seconds,candidate_fastest,baseline_fastest,actual_fastest
1,202601,point_fit,0.6995263157894728,0.6995263157894728,0.21052631578947367,0.5999999999999943,RUS,RUS,RUS
2,202602,point_fit,0.404333333333334,0.404333333333334,0.5714285714285714,0.5999999999999943,RUS,RUS,ANT
3,202603,calibration,0.3032990170674814,0.3032990170674814,1.0,1.5790000000000077,ANT,ANT,ANT
4,202604,calibration,1.0892605040202286,0.6498247398888708,0.9047619047619048,2.2679999999999816,NOR,NOR,ANT
5,202605,calibration,0.4654794114529416,0.4388186936484608,0.95,2.267999999999984,RUS,RUS,RUS
6,202606,calibration,0.534214496226808,0.534214496226808,0.8181818181818182,1.5790000000000077,ANT,ANT,ANT
7,202607,audit,0.3930499059816684,0.39838781978672766,0.9090909090909091,1.8337811378131619,RUS,RUS,RUS
8,202608,audit,0.221588683372802,0.21906106424724603,1.0,1.8337811378131619,RUS,RUS,RUS
9,202609,audit,0.49949999999999634,0.5163068589770371,0.8181818181818182,1.8337811378131619,HAM,HAM,ANT
